sys.exec.out.time {s},dyn.organs.Cli {--},dyn.organs.Clu {--},dyn.organs.Cm {--},dyn.organs.dC_liver_dt {--},dyn.organs.dC_lung_dt {--},dyn.organs.dC_tissue_dt {--}
0,0,0,0,0,0,0.729166666666667
0.01,0,0.000108013600079085,0.00728126085069444,0,0.0216027200158171,0.727085503472222
0.02,2.81323279149631E-07,0.000425167036805641,0.0145421634861649,4.20727246601046E-05,0.0421750531805621,0.725072176805558
0.03,1.11295439861424E-06,0.000944839682487671,0.0217831440535835,0.000110556661808791,0.0620958612414708,0.72310178277623
0.04,2.75443983854026E-06,0.0016606151830014,0.0290046254819673,0.000204523222312642,0.0813852517666984,0.721173020574672
0.05,5.45618303757982E-06,0.00256627525345761,0.0362070178894281,0.000323072857611223,0.100062721227119,0.719284629477757
0.06,9.45973043885448E-06,0.00365579365534514,0.0433907189780285,0.000465334173960974,0.118147172894971,0.717435387628273
0.07,1.4998048806958E-05,0.00492333035028885,0.0505561144166111,0.000630463072771525,0.135656934261474,0.715624110850325
0.08,2.22957940734087E-05,0.00636322582566311,0.0577035782119528,0.000817641916323584,0.152609773983774,0.713849651499681
0.09,3.15695719609325E-05,0.00796999558740472,0.0648334730685914,0.00102607871817344,0.169022918371466,0.712110897348113
0.1,4.30281906300869E-05,0.00973832481547174,0.0719461507376568,0.00125500635756486,0.184913067422897,0.710406770500786
0.11,5.68729055850208E-05,0.0116630631774959,0.0790419523550362,0.00150368181718477,0.200296410421336,0.708736226345803
0.12,7.32976570686061E-05,0.0137392197962766,0.0861212087691875,0.00177138544361447,0.215188641101011,0.707098252534997
0.13,9.24893001707706E-05,0.0159619583668643,0.0931842408589107,0.00205742022984333,0.229604972392905,0.70549186799511
0.14,0.000114627827867604,0.0183265924190794,0.100231359841377,0.0023611111192271,0.243560150760095,0.703916121968501
0.15,0.000139886587202704,0.0208285807214092,0.107262867570705,0.0026818043302875,0.257068470132304,0.702370093082564
0.16,0.000168432488816278,0.0234635228223232,0.114279056827372,0.00301886670176463,0.270143785449197,0.700852888447036
0.17,0.000200426210021677,0.0262271547251397,0.121280211598725,0.00337168505734807,0.282799525821854,0.699363642778414
0.18,0.000236022391623404,0.0291153446926725,0.128266607350874,0.00373966558952656,0.29504870732169,0.6979015175507
0.19,0.000275369828665079,0.0321240891779763,0.135238511292213,0.00412223326201047,0.30690394540598,0.696465700171737
0.2,0.000318611655290458,0.0352495088776015,0.142196182628829,0.00451883123019451,0.318377466988993,0.695055403184392
