sys.exec.out.time {s},dyn.organs.Cli {--},dyn.organs.Clu {--},dyn.organs.Cm {--},dyn.organs.dC_liver_dt {--},dyn.organs.dC_lung_dt {--},dyn.organs.dC_tissue_dt {--}
0,0,0,35,0,102.021276595745,-10.0637326200236
0.01,0.000674125955202174,1.00317083547821,34.9004662460459,0.134825191040435,98.612890499898,-9.84301817080356
0.02,0.00264637305267031,1.97382464778813,34.8030697825407,0.262151338169593,95.4634128404039,-9.63275370435265
0.03,0.00586989441448034,2.91376909651196,34.7077453154447,0.3849348026152,92.4754866492996,-9.4288210108577
0.04,0.0103001714367957,3.82450231461717,34.6144307799387,0.503383196594981,89.6245909217797,-9.23093282090569
0.05,0.0158946788648985,4.70731161145541,34.5230668675298,0.617678975823915,86.8934562878874,-9.03883733133732
0.06,0.0226126478177417,5.56333332615032,34.4335966920548,0.727985852031317,84.2693735906607,-8.85230911547881
0.07,0.0304148904064955,6.39359103229635,34.34596554299,0.834453108147893,81.742630658067,-8.67114300903913
0.08,0.0392636648569561,7.19902098189316,34.260120696147,0.937218581283932,79.3055599364833,-8.49514988563261
0.09,0.0491225682952437,7.98048967187786,34.1760112635409,1.03641078026578,76.9519345061493,-8.32415365955303
0.1,0.0599564490553813,8.73880635563863,34.093588070886,1.13215042699289,74.6765716767956,-8.15798910541298
0.11,0.0717313331652174,9.47473220157506,34.0128035551459,1.22455160490131,72.475064986023,-7.99650023467209
0.12,0.0844143613971196,10.1889871630704,33.933611677014,1.31372263342743,70.3435982383084,-7.83953906044786
0.13,0.0979737343749728,10.8822552466639,33.8559678447704,1.39976674737449,68.2788134677697,-7.68696463873742
0.14,0.112378663955367,11.5551886338909,33.7798288469919,1.48278263467968,66.277715240472,-7.53864231021326
0.15,0.127599329590397,12.2084109662435,33.705152792282,1.56286486958231,64.3375999963086,-7.39444309015078
0.16,0.143606838716885,12.8425200080722,33.6318990546704,1.64010426725684,62.4560029911064,-7.25424316955294
0.17,0.160373190454026,13.4580898394631,33.5600282236637,1.71458817858291,60.630657833931,-7.11792350101569
0.18,0.1778712420613,14.055672688575,33.4895020581729,1.78640073863848,58.8594651858629,-6.98536945008706
0.19,0.196074677732021,14.6358004835419,33.4202834437155,1.85562307894424,57.1404682224069,-6.85647049791474
0.2,0.214957979389189,15.1989861833998,33.3523363524216,1.92233351096015,55.471833157829,-6.73111998455813
0.21,0.234496399218625,15.7457249327608,33.2856258054686,1.9866076865144,53.8518336057819,-6.60921488492032
0.22,0.254665933726206,16.2764950742922,33.2201178376431,2.04851873951561,52.2788378813934,-6.49065561113851
0.23,0.275443299145737,16.7917590452278,33.1557794637852,2.10813741231719,50.7512985832901,-6.37534583666222
0.24,0.296805908054871,17.2919641783257,33.0925786469136,2.16553216936842,49.2677439607938,-6.26319233828871
0.25,0.318731847080612,17.7775434233211,33.0304842678633,2.2207693002327,47.8267706922503,-6.15410485320973
0.26,0.341199855595047,18.2489160016075,32.9694660962978,2.27391301362998,46.427037788864,-6.04799594872313
0.27,0.364189305317223,18.7064880043365,32.9094947629747,2.32502552383506,45.067261403868,-5.94478090272388
0.28,0.387680180749349,19.1506529421652,32.8505417331651,2.37416713051014,43.7462103758199,-5.84437759344712
0.29,0.411653060385462,19.5817922533419,32.792579281139,2.42139629285197,42.4627023717796,-5.74670639721692
0.3,0.436089098638866,20.0002757756166,32.7355804656419,2.46676969877759,41.2156005242833,-5.65169009317507
0.31,0.46097000844135,20.4064621865057,32.6795191062946,2.51034232974829,40.0038104776655,-5.55925377414126
0.32,0.486278044472775,20.800699415678,32.6243697608608,2.55216752173158,38.8262777760275,-5.46932476289617
0.33,0.511995986984274,21.1833250326119,32.5701077033283,2.59229702272116,37.6819855382206,-5.38183253329314
0.34,0.538107126182222,21.5546666121809,32.5167089027596,2.63078104716936,36.5699523754747,-5.29670863569614
0.35,0.56459524714346,21.9150420804179,32.4641500028692,2.66766832763362,35.4892305154239,-5.21388662631707
0.36,0.591444615235068,22.2647600423779,32.4124083022916,2.7030061638949,34.4389041027374,-5.13330200008706
0.37,0.618639962014424,22.6041200937447,32.3614617355045,2.73684046976978,33.418087651742,-5.05489212674771
